tstp,CO
2018/1/1,0.28
2018/1/1,0.27
2018/1/1,0.26
2018/1/1,0.26
2018/1/1,0.25
2018/1/1,0.26
2018/1/1,0.27
2018/1/1,0.32
2018/1/1,0.32
2018/1/1,0.3
2018/1/1,0.33
2018/1/1,0.35
2018/1/1,0.35
2018/1/1,0.35
2018/1/1,0.36
2018/1/1,0.37
2018/1/1,0.4
2018/1/1,0.42
2018/1/1,0.45
2018/1/1,0.46
2018/1/1,0.53
2018/1/1,0.61
2018/1/1,0.59
2018/1/1,0.59
2018/1/2,0.67
2018/1/2,0.83
2018/1/2,0.84
2018/1/2,0.72
2018/1/2,0.68
2018/1/2,0.76
2018/1/2,0.96
2018/1/2,1.04
2018/1/2,1.18
2018/1/2,0.83
2018/1/2,0.53
2018/1/2,0.39
2018/1/2,0.35
2018/1/2,0.31
2018/1/2,0.29
2018/1/2,0.32
2018/1/2,0.3
2018/1/2,0.38
2018/1/2,0.53
2018/1/2,0.63
2018/1/2,0.78
2018/1/2,0.9
2018/1/2,0.79
2018/1/2,0.71
2018/1/3,0.77
2018/1/3,0.69
2018/1/3,0.59
2018/1/3,0.5
2018/1/3,0.47
2018/1/3,0.51
2018/1/3,0.58
2018/1/3,0.95
2018/1/3,0.73
2018/1/3,0.49
2018/1/3,0.5
2018/1/3,0.45
2018/1/3,0.44
2018/1/3,0.46
2018/1/3,0.53
2018/1/3,0.57
2018/1/3,0.54
2018/1/3,0.55
2018/1/3,0.53
2018/1/3,0.55
2018/1/3,0.73
2018/1/3,0.67
2018/1/3,0.97
2018/1/3,0.82
2018/1/4,0.97
2018/1/4,1.23
2018/1/4,0.79
2018/1/4,0.74
2018/1/4,0.78
2018/1/4,0.84
2018/1/4,0.9
2018/1/4,1.17
2018/1/4,1.2
2018/1/4,0.6
2018/1/4,0.31
2018/1/4,0.26
2018/1/4,0.22
2018/1/4,0.19
2018/1/4,0.22
2018/1/4,0.22
2018/1/4,0.31
2018/1/4,0.26
2018/1/4,0.23
2018/1/4,0.21
2018/1/4,0.19
2018/1/4,0.2
2018/1/4,0.23
2018/1/4,0.19
2018/1/5,0.19
2018/1/5,0.22
2018/1/5,0.19
2018/1/5,0.19
2018/1/5,0.2
2018/1/5,0.23
2018/1/5,0.26
2018/1/5,0.42
2018/1/5,0.43
2018/1/5,0.35
2018/1/5,0.31
2018/1/5,0.33
2018/1/5,0.29
2018/1/5,0.26
2018/1/5,0.27
2018/1/5,0.26
2018/1/5,0.29
2018/1/5,0.3
2018/1/5,0.32
2018/1/5,0.31
2018/1/5,0.33
2018/1/5,0.35
2018/1/5,0.31
2018/1/5,0.3
2018/1/6,0.29
2018/1/6,0.26
2018/1/6,0.26
2018/1/6,0.26
2018/1/6,0.26
2018/1/6,0.26
2018/1/6,0.27
2018/1/6,0.35
2018/1/6,0.35
2018/1/6,0.34
2018/1/6,0.33
2018/1/6,0.35
2018/1/6,0.4
2018/1/6,0.4
2018/1/6,0.34
2018/1/6,0.36
2018/1/6,0.37
2018/1/6,0.46
2018/1/6,0.45
2018/1/6,0.44
2018/1/6,0.36
2018/1/6,0.39
2018/1/6,0.33
2018/1/6,0.37
2018/1/7,0.37
2018/1/7,0.36
2018/1/7,0.37
2018/1/7,0.37
2018/1/7,0.31
2018/1/7,0.16
2018/1/7,0.11
2018/1/7,0.11
2018/1/7,0.12
2018/1/7,0.13
2018/1/7,0.15
2018/1/7,0.14
2018/1/7,0.15
2018/1/7,0.15
2018/1/7,0.2
2018/1/7,0.21
2018/1/7,0.2
2018/1/7,0.23
2018/1/7,0.29
2018/1/7,0.39
2018/1/7,0.66
2018/1/7,0.93
2018/1/7,1.11
2018/1/7,1.01
2018/1/8,0.7
2018/1/8,0.41
2018/1/8,0.39
2018/1/8,0.25
2018/1/8,0.26
2018/1/8,0.27
2018/1/8,0.36
2018/1/8,0.88
2018/1/8,0.97
2018/1/8,0.86
2018/1/8,0.73
2018/1/8,0.31
2018/1/8,0.24
2018/1/8,0.27
2018/1/8,0.28
2018/1/8,0.37
2018/1/8,0.34
2018/1/8,0.38
2018/1/8,0.5
2018/1/8,0.61
2018/1/8,0.65
2018/1/8,0.67
2018/1/8,0.69
2018/1/8,0.67
2018/1/9,0.67
2018/1/9,0.57
2018/1/9,0.57
2018/1/9,0.54
2018/1/9,0.5
2018/1/9,0.46
2018/1/9,0.45
2018/1/9,0.49
2018/1/9,0.46
2018/1/9,0.42
2018/1/9,0.39
2018/1/9,0.38
2018/1/9,0.38
2018/1/9,0.4
2018/1/9,0.43
2018/1/9,0.47
2018/1/9,0.44
2018/1/9,0.45
2018/1/9,0.46
2018/1/9,0.44
2018/1/9,0.4
2018/1/9,0.42
2018/1/9,0.27
2018/1/9,0.17
2018/1/10,0.16
2018/1/10,0.2
2018/1/10,0.19
2018/1/10,0.22
2018/1/10,0.27
2018/1/10,0.29
2018/1/10,0.31
2018/1/10,0.4
2018/1/10,0.38
2018/1/10,0.36
2018/1/10,0.35
2018/1/10,0.34
2018/1/10,0.29
2018/1/10,0.24
2018/1/10,0.24
2018/1/10,0.22
2018/1/10,0.23
2018/1/10,0.26
2018/1/10,0.28
2018/1/10,0.29
2018/1/10,0.28
2018/1/10,0.27
2018/1/10,0.22
2018/1/10,0.19
2018/1/11,0.19
2018/1/11,0.18
2018/1/11,0.18
2018/1/11,0.18
2018/1/11,0.17
2018/1/11,0.17
2018/1/11,0.2
2018/1/11,0.25
2018/1/11,0.23
2018/1/11,0.25
2018/1/11,0.25
2018/1/11,0.25
2018/1/11,0.27
2018/1/11,0.22
2018/1/11,0.21
2018/1/11,0.22
2018/1/11,0.22
2018/1/11,0.24
2018/1/11,0.27
2018/1/11,0.27
2018/1/11,0.27
2018/1/11,0.27
2018/1/11,0.24
2018/1/11,0.19
2018/1/12,0.15
2018/1/12,0.17
2018/1/12,0.16
2018/1/12,0.15
2018/1/12,0.17
2018/1/12,0.17
2018/1/12,0.19
2018/1/12,0.24
2018/1/12,0.21
2018/1/12,0.21
2018/1/12,0.21
2018/1/12,0.21
2018/1/12,0.27
2018/1/12,0.28
2018/1/12,0.28
2018/1/12,0.3
2018/1/12,0.33
2018/1/12,0.38
2018/1/12,0.36
2018/1/12,0.33
2018/1/12,0.33
2018/1/12,0.31
2018/1/12,0.3
2018/1/12,0.27
2018/1/13,0.26
2018/1/13,0.24
2018/1/13,0.22
2018/1/13,0.2
2018/1/13,0.19
2018/1/13,0.18
2018/1/13,0.2
2018/1/13,0.25
2018/1/13,0.24
2018/1/13,0.23
2018/1/13,0.23
2018/1/13,0.24
2018/1/13,0.24
2018/1/13,0.23
2018/1/13,0.23
2018/1/13,0.22
2018/1/13,0.24
2018/1/13,0.29
2018/1/13,0.32
2018/1/13,0.36
2018/1/13,0.35
2018/1/13,0.33
2018/1/13,0.36
2018/1/13,0.43
2018/1/14,0.6
2018/1/14,0.95
2018/1/14,0.9
2018/1/14,0.5
2018/1/14,0.31
2018/1/14,0.27
2018/1/14,0.28
2018/1/14,0.67
2018/1/14,0.87
2018/1/14,0.49
2018/1/14,0.33
2018/1/14,0.31
2018/1/14,0.27
2018/1/14,0.23
2018/1/14,0.18
2018/1/14,0.17
2018/1/14,0.19
2018/1/14,0.21
2018/1/14,0.22
2018/1/14,0.23
2018/1/14,0.24
2018/1/14,0.29
2018/1/14,0.35
2018/1/14,0.38
2018/1/15,0.31
2018/1/15,0.33
2018/1/15,0.38
2018/1/15,0.42
2018/1/15,0.41
2018/1/15,0.4
2018/1/15,0.33
2018/1/15,0.49
2018/1/15,0.51
2018/1/15,0.38
2018/1/15,0.25
2018/1/15,0.25
2018/1/15,0.25
2018/1/15,0.19
2018/1/15,0.18
2018/1/15,0.18
2018/1/15,0.19
2018/1/15,0.23
2018/1/15,0.23
2018/1/15,0.23
2018/1/15,0.22
2018/1/15,0.24
2018/1/15,0.24
2018/1/15,0.22
2018/1/16,0.26
2018/1/16,0.26
2018/1/16,0.32
2018/1/16,0.29
2018/1/16,0.27
2018/1/16,0.28
2018/1/16,0.31
2018/1/16,0.6
2018/1/16,0.39
2018/1/16,0.27
2018/1/16,0.31
2018/1/16,0.3
2018/1/16,0.28
2018/1/16,0.26
2018/1/16,0.24
2018/1/16,0.29
2018/1/16,0.39
2018/1/16,0.47
2018/1/16,0.6
2018/1/16,0.94
2018/1/16,1.06
2018/1/16,0.67
2018/1/16,1.14
2018/1/16,1.57
2018/1/17,1.52
2018/1/17,0.73
2018/1/17,0.63
2018/1/17,0.24
2018/1/17,0.25
2018/1/17,0.28
2018/1/17,0.39
2018/1/17,0.49
2018/1/17,0.39
2018/1/17,0.38
2018/1/17,0.38
2018/1/17,0.38
2018/1/17,0.38
2018/1/17,0.32
2018/1/17,0.25
2018/1/17,0.34
2018/1/17,0.35
2018/1/17,0.46
2018/1/17,0.53
2018/1/17,0.45
2018/1/17,0.41
2018/1/17,0.41
2018/1/17,0.46
2018/1/17,0.43
2018/1/18,0.37
2018/1/18,0.34
2018/1/18,0.3
2018/1/18,0.33
2018/1/18,0.34
2018/1/18,0.32
2018/1/18,0.27
2018/1/18,0.34
2018/1/18,0.35
2018/1/18,0.3
2018/1/18,0.31
2018/1/18,0.31
2018/1/18,0.3
2018/1/18,0.27
2018/1/18,0.25
2018/1/18,0.25
2018/1/18,0.29
2018/1/18,0.37
2018/1/18,0.35
2018/1/18,0.32
2018/1/18,0.3
2018/1/18,0.31
2018/1/18,0.29
2018/1/18,0.25
2018/1/19,0.25
2018/1/19,0.24
2018/1/19,0.24
2018/1/19,0.24
2018/1/19,0.25
2018/1/19,0.26
2018/1/19,0.29
2018/1/19,0.37
2018/1/19,0.33
2018/1/19,0.33
2018/1/19,0.36
2018/1/19,0.37
2018/1/19,0.4
2018/1/19,0.4
2018/1/19,0.4
2018/1/19,0.37
2018/1/19,0.41
2018/1/19,0.49
2018/1/19,0.51
2018/1/19,0.51
2018/1/19,0.42
2018/1/19,0.45
2018/1/19,0.42
2018/1/19,0.42
2018/1/20,0.39
2018/1/20,0.39
2018/1/20,0.38
2018/1/20,0.36
2018/1/20,0.37
2018/1/20,0.38
2018/1/20,0.41
2018/1/20,0.46
2018/1/20,0.5
2018/1/20,0.46
2018/1/20,0.47
2018/1/20,0.43
2018/1/20,0.43
2018/1/20,0.42
2018/1/20,0.44
2018/1/20,0.46
2018/1/20,0.51
2018/1/20,0.58
2018/1/20,0.56
2018/1/20,0.5
2018/1/20,0.47
2018/1/20,0.43
2018/1/20,0.44
2018/1/20,0.48
2018/1/21,0.49
2018/1/21,0.4
2018/1/21,0.39
2018/1/21,0.41
2018/1/21,0.38
2018/1/21,0.35
2018/1/21,0.34
2018/1/21,0.34
2018/1/21,0.36
2018/1/21,0.38
2018/1/21,0.45
2018/1/21,0.48
2018/1/21,0.37
2018/1/21,0.33
2018/1/21,0.34
2018/1/21,0.33
2018/1/21,0.34
2018/1/21,0.35
2018/1/21,0.35
2018/1/21,0.34
2018/1/21,0.34
2018/1/21,0.34
2018/1/21,0.34
2018/1/21,0.34
2018/1/22,0.34
2018/1/22,0.28
2018/1/22,0.28
2018/1/22,0.3
2018/1/22,0.31
2018/1/22,0.33
2018/1/22,0.37
2018/1/22,0.47
2018/1/22,0.49
2018/1/22,0.47
2018/1/22,0.45
2018/1/22,0.47
2018/1/22,0.42
2018/1/22,0.37
2018/1/22,0.37
2018/1/22,0.37
2018/1/22,0.59
2018/1/22,0.6
2018/1/22,0.58
2018/1/22,0.56
2018/1/22,0.54
2018/1/22,0.53
2018/1/22,0.51
2018/1/22,0.47
2018/1/23,0.43
2018/1/23,0.37
2018/1/23,0.37
2018/1/23,0.35
2018/1/23,0.28
2018/1/23,0.28
2018/1/23,0.31
2018/1/23,0.42
2018/1/23,0.43
2018/1/23,0.32
