,LCLid,tstp,energy(kWh/hh),SUM
0,MAC004179,2013-01-01 00:00:00.0000000,1.49,1.49
1,MAC004179,2013-01-01 00:30:00.0000000,1.258,2.748
2,MAC004179,2013-01-01 01:00:00.0000000,1.48,4.228
3,MAC004179,2013-01-01 01:30:00.0000000,1.328,5.556
4,MAC004179,2013-01-01 02:00:00.0000000,1.445,7.001
5,MAC004179,2013-01-01 02:30:00.0000000,1.243,8.244
6,MAC004179,2013-01-01 03:00:00.0000000,1.565,9.809
7,MAC004179,2013-01-01 03:30:00.0000000,1.28,11.089
8,MAC004179,2013-01-01 04:00:00.0000000,1.339,12.428
9,MAC004179,2013-01-01 04:30:00.0000000,1.417,13.845
10,MAC004179,2013-01-01 05:00:00.0000000,1.3,15.145
11,MAC004179,2013-01-01 05:30:00.0000000,1.503,16.648
12,MAC004179,2013-01-01 06:00:00.0000000,1.18,17.828
13,MAC004179,2013-01-01 06:30:00.0000000,1.342,19.17
14,MAC004179,2013-01-01 07:00:00.0000000,1.471,20.641
15,MAC004179,2013-01-01 07:30:00.0000000,1.443,22.084
16,MAC004179,2013-01-01 08:00:00.0000000,1.543,23.627
17,MAC004179,2013-01-01 08:30:00.0000000,1.41,25.037
18,MAC004179,2013-01-01 09:00:00.0000000,1.465,26.502
19,MAC004179,2013-01-01 09:30:00.0000000,1.357,27.859
20,MAC004179,2013-01-01 10:00:00.0000000,1.531,29.39
21,MAC004179,2013-01-01 10:30:00.0000000,1.394,30.784
22,MAC004179,2013-01-01 11:00:00.0000000,1.342,32.126
23,MAC004179,2013-01-01 11:30:00.0000000,1.545,33.671
24,MAC004179,2013-01-01 12:00:00.0000000,1.419,35.09
25,MAC004179,2013-01-01 12:30:00.0000000,1.562,36.652
26,MAC004179,2013-01-01 13:00:00.0000000,1.291,37.943
27,MAC004179,2013-01-01 13:30:00.0000000,1.49,39.433
28,MAC004179,2013-01-01 14:00:00.0000000,1.307,40.74
29,MAC004179,2013-01-01 14:30:00.0000000,1.39,42.13
30,MAC004179,2013-01-01 15:00:00.0000000,1.308,43.438
31,MAC004179,2013-01-01 15:30:00.0000000,1.254,44.692
32,MAC004179,2013-01-01 16:00:00.0000000,1.57,46.262
33,MAC004179,2013-01-01 16:30:00.0000000,1.371,47.633
34,MAC004179,2013-01-01 17:00:00.0000000,1.426,49.059
35,MAC004179,2013-01-01 17:30:00.0000000,1.555,50.614
36,MAC004179,2013-01-01 18:00:00.0000000,1.391,52.005
37,MAC004179,2013-01-01 18:30:00.0000000,1.312,53.317
38,MAC004179,2013-01-01 19:00:00.0000000,1.506,54.823
39,MAC004179,2013-01-01 19:30:00.0000000,1.282,56.105
40,MAC004179,2013-01-01 20:00:00.0000000,1.703,57.808
41,MAC004179,2013-01-01 20:30:00.0000000,1.371,59.179
42,MAC004179,2013-01-01 21:00:00.0000000,1.36,60.539
43,MAC004179,2013-01-01 21:30:00.0000000,1.441,61.98
44,MAC004179,2013-01-01 22:00:00.0000000,1.583,63.563
45,MAC004179,2013-01-01 22:30:00.0000000,1.263,64.826
46,MAC004179,2013-01-01 23:00:00.0000000,1.954,66.78
47,MAC004179,2013-01-01 23:30:00.0000000,1.498,68.278
48,MAC004179,2013-01-02 00:00:00.0000000,1.373,69.651
49,MAC004179,2013-01-02 00:30:00.0000000,1.415,71.066
50,MAC004179,2013-01-02 01:00:00.0000000,1.468,72.534
51,MAC004179,2013-01-02 01:30:00.0000000,1.439,73.973
52,MAC004179,2013-01-02 02:00:00.0000000,1.849,75.822
53,MAC004179,2013-01-02 02:30:00.0000000,1.476,77.298
54,MAC004179,2013-01-02 03:00:00.0000000,1.271,78.569
55,MAC004179,2013-01-02 03:30:00.0000000,1.494,80.063
56,MAC004179,2013-01-02 04:00:00.0000000,1.542,81.605
57,MAC004179,2013-01-02 04:30:00.0000000,1.432,83.037
58,MAC004179,2013-01-02 05:00:00.0000000,1.735,84.772
59,MAC004179,2013-01-02 05:30:00.0000000,1.421,86.193
60,MAC004179,2013-01-02 06:00:00.0000000,1.424,87.617
61,MAC004179,2013-01-02 06:30:00.0000000,1.478,89.095
62,MAC004179,2013-01-02 07:00:00.0000000,1.603,90.698
63,MAC004179,2013-01-02 07:30:00.0000000,1.431,92.129
64,MAC004179,2013-01-02 08:00:00.0000000,1.759,93.888
65,MAC004179,2013-01-02 08:30:00.0000000,1.654,95.542
66,MAC004179,2013-01-02 09:00:00.0000000,1.412,96.954
67,MAC004179,2013-01-02 09:30:00.0000000,1.499,98.453
68,MAC004179,2013-01-02 10:00:00.0000000,1.617,100.07
69,MAC004179,2013-01-02 10:30:00.0000000,1.979,102.049
70,MAC004179,2013-01-02 11:00:00.0000000,1.351,103.4
71,MAC004179,2013-01-02 11:30:00.0000000,1.665,105.065
72,MAC004179,2013-01-02 12:00:00.0000000,1.502,106.567
73,MAC004179,2013-01-02 12:30:00.0000000,1.492,108.059
74,MAC004179,2013-01-02 13:00:00.0000000,1.361,109.42
75,MAC004179,2013-01-02 13:30:00.0000000,1.616,111.036
76,MAC004179,2013-01-02 14:00:00.0000000,1.467,112.503
77,MAC004179,2013-01-02 14:30:00.0000000,1.439,113.942
78,MAC004179,2013-01-02 15:00:00.0000000,1.429,115.371
79,MAC004179,2013-01-02 15:30:00.0000000,1.492,116.863
80,MAC004179,2013-01-02 16:00:00.0000000,1.248,118.111
81,MAC004179,2013-01-02 16:30:00.0000000,1.609,119.72
82,MAC004179,2013-01-02 17:00:00.0000000,1.563,121.283
83,MAC004179,2013-01-02 17:30:00.0000000,1.547,122.83
84,MAC004179,2013-01-02 18:00:00.0000000,1.421,124.251
85,MAC004179,2013-01-02 18:30:00.0000000,1.447,125.698
86,MAC004179,2013-01-02 19:00:00.0000000,1.46,127.158
87,MAC004179,2013-01-02 19:30:00.0000000,1.534,128.692
88,MAC004179,2013-01-02 20:00:00.0000000,1.327,130.019
89,MAC004179,2013-01-02 20:30:00.0000000,1.551,131.57
90,MAC004179,2013-01-02 21:00:00.0000000,1.115,132.685
91,MAC004179,2013-01-02 21:30:00.0000000,1.665,134.35
92,MAC004179,2013-01-02 22:00:00.0000000,1.411,135.761
93,MAC004179,2013-01-02 22:30:00.0000000,1.621,137.382
94,MAC004179,2013-01-02 23:00:00.0000000,1.602,138.984
95,MAC004179,2013-01-02 23:30:00.0000000,1.62,140.604
96,MAC004179,2013-01-03 00:00:00.0000000,1.256,141.86
97,MAC004179,2013-01-03 00:30:00.0000000,1.392,143.252
98,MAC004179,2013-01-03 01:00:00.0000000,1.213,144.465
99,MAC004179,2013-01-03 01:30:00.0000000,1.515,145.98
100,MAC004179,2013-01-03 02:00:00.0000000,1.415,147.395
101,MAC004179,2013-01-03 02:30:00.0000000,1.52,148.915
102,MAC004179,2013-01-03 03:00:00.0000000,1.539,150.454
103,MAC004179,2013-01-03 03:30:00.0000000,1.177,151.631
104,MAC004179,2013-01-03 04:00:00.0000000,1.689,153.32
105,MAC004179,2013-01-03 04:30:00.0000000,1.416,154.736
106,MAC004179,2013-01-03 05:00:00.0000000,1.711,156.447
107,MAC004179,2013-01-03 05:30:00.0000000,1.464,157.911
108,MAC004179,2013-01-03 06:00:00.0000000,1.339,159.25
109,MAC004179,2013-01-03 06:30:00.0000000,1.398,160.648
110,MAC004179,2013-01-03 07:00:00.0000000,1.494,162.142
111,MAC004179,2013-01-03 07:30:00.0000000,1.472,163.614
112,MAC004179,2013-01-03 08:00:00.0000000,1.576,165.19
113,MAC004179,2013-01-03 08:30:00.0000000,1.251,166.441
114,MAC004179,2013-01-03 09:00:00.0000000,1.531,167.972
115,MAC004179,2013-01-03 09:30:00.0000000,1.274,169.246
116,MAC004179,2013-01-03 10:00:00.0000000,1.497,170.743
117,MAC004179,2013-01-03 10:30:00.0000000,1.284,172.027
118,MAC004179,2013-01-03 11:00:00.0000000,1.631,173.658
