tstp,temperature(℃)
2018/1/1,14.6
2018/1/1,14.3
2018/1/1,14.1
2018/1/1,14
2018/1/1,13.9
2018/1/1,13.8
2018/1/1,13.9
2018/1/1,14.1
2018/1/1,14.7
2018/1/1,16.6
2018/1/1,18.4
2018/1/1,20.1
2018/1/1,21
2018/1/1,21.3
2018/1/1,21.2
2018/1/1,20.5
2018/1/1,19.4
2018/1/1,18.3
2018/1/1,17.7
2018/1/1,17.1
2018/1/1,16.6
2018/1/1,16
2018/1/1,15.8
2018/1/1,15.7
2018/1/2,15.5
2018/1/2,15.6
2018/1/2,15.4
2018/1/2,15.1
2018/1/2,15.4
2018/1/2,15
2018/1/2,14.9
2018/1/2,15.8
2018/1/2,17.4
2018/1/2,19.1
2018/1/2,20.4
2018/1/2,20.8
2018/1/2,21.5
2018/1/2,21.6
2018/1/2,21.3
2018/1/2,20.2
2018/1/2,19.6
2018/1/2,19.3
2018/1/2,19
2018/1/2,19
2018/1/2,18.9
2018/1/2,18.6
2018/1/2,18.2
2018/1/2,17.8
2018/1/3,17.3
2018/1/3,17.5
2018/1/3,17.7
2018/1/3,17.8
2018/1/3,17.3
2018/1/3,16.2
2018/1/3,16.2
2018/1/3,16.5
2018/1/3,17.9
2018/1/3,18.5
2018/1/3,19.2
2018/1/3,21.3
2018/1/3,22.7
2018/1/3,21.9
2018/1/3,21
2018/1/3,20.4
2018/1/3,20
2018/1/3,19.6
2018/1/3,19.3
2018/1/3,19.1
2018/1/3,19.1
2018/1/3,19.1
2018/1/3,18.7
2018/1/3,18.4
2018/1/4,18.1
2018/1/4,17.9
2018/1/4,18.1
2018/1/4,17.9
2018/1/4,18.3
2018/1/4,18.5
2018/1/4,18.2
2018/1/4,18.4
2018/1/4,18.7
2018/1/4,19.6
2018/1/4,19.5
2018/1/4,19.1
2018/1/4,18.7
2018/1/4,18.7
2018/1/4,19.1
2018/1/4,19.2
2018/1/4,19.4
2018/1/4,19
2018/1/4,18.6
2018/1/4,18.4
2018/1/4,18.1
2018/1/4,18.2
2018/1/4,18.5
2018/1/4,18.5
2018/1/5,18.5
2018/1/5,18.6
2018/1/5,18.6
2018/1/5,18.6
2018/1/5,18.7
2018/1/5,18.9
2018/1/5,18.8
2018/1/5,18.9
2018/1/5,19.2
2018/1/5,19.6
2018/1/5,19.6
2018/1/5,19.1
2018/1/5,18.4
2018/1/5,18.1
2018/1/5,17.9
2018/1/5,17.9
2018/1/5,17.5
